[08-14 00:00:53] New Score: -77, Best Score: -77, Average Score: -77.0
[08-14 00:09:19] New Score: 122, Best Score: 148, Average Score: 87.31481481481481
[08-14 00:09:23] New Score: 98, Best Score: 148, Average Score: 87.41284403669725
[08-14 00:09:29] New Score: 113, Best Score: 148, Average Score: 87.64545454545454
[08-14 00:09:33] New Score: 122, Best Score: 148, Average Score: 87.95495495495496
[08-14 00:09:38] New Score: 98, Best Score: 148, Average Score: 88.04464285714286
[08-14 00:09:43] New Score: 113, Best Score: 148, Average Score: 88.26548672566372
[08-14 00:09:47] New Score: 100, Best Score: 148, Average Score: 88.36842105263158
[08-14 00:09:52] New Score: 110, Best Score: 148, Average Score: 88.55652173913043
[08-14 00:09:57] New Score: 101, Best Score: 148, Average Score: 88.66379310344827
[08-14 00:10:01] New Score: 99, Best Score: 148, Average Score: 88.75213675213675
[08-14 00:10:05] New Score: 99, Best Score: 148, Average Score: 88.83898305084746
[08-14 00:10:10] New Score: 111, Best Score: 148, Average Score: 89.02521008403362
[08-14 00:10:14] New Score: 98, Best Score: 148, Average Score: 89.1
[08-14 00:10:19] New Score: 122, Best Score: 148, Average Score: 89.37190082644628
[08-14 00:10:24] New Score: 122, Best Score: 148, Average Score: 89.63934426229508
[08-14 00:10:29] New Score: 113, Best Score: 148, Average Score: 89.82926829268293
[08-14 00:10:33] New Score: 98, Best Score: 148, Average Score: 89.89516129032258
[08-14 00:10:38] New Score: 110, Best Score: 148, Average Score: 90.056
[08-14 00:10:43] New Score: 113, Best Score: 148, Average Score: 90.23809523809524
[08-14 00:10:49] New Score: 112, Best Score: 148, Average Score: 90.40944881889764
[08-14 00:10:53] New Score: 99, Best Score: 148, Average Score: 90.4765625
[08-14 00:10:58] New Score: 98, Best Score: 148, Average Score: 90.53488372093024
[08-14 00:11:02] New Score: 100, Best Score: 148, Average Score: 90.6076923076923
[08-14 00:11:07] New Score: 98, Best Score: 148, Average Score: 90.66412213740458
[08-14 00:11:12] New Score: 122, Best Score: 148, Average Score: 90.90151515151516
[08-14 00:11:17] New Score: 110, Best Score: 148, Average Score: 91.04511278195488
[08-14 00:11:24] New Score: 135, Best Score: 148, Average Score: 91.3731343283582
[08-14 00:11:31] New Score: 125, Best Score: 148, Average Score: 91.62222222222222
[08-14 00:11:36] New Score: 99, Best Score: 148, Average Score: 91.67647058823529
[08-14 00:11:43] New Score: 148, Best Score: 148, Average Score: 92.08759124087591
[08-14 00:11:49] New Score: 124, Best Score: 148, Average Score: 92.31884057971014
[08-14 00:11:54] New Score: 123, Best Score: 148, Average Score: 92.53956834532374
[08-14 00:11:59] New Score: 100, Best Score: 148, Average Score: 92.59285714285714
[08-14 00:12:05] New Score: 114, Best Score: 148, Average Score: 92.74468085106383
[08-14 00:12:10] New Score: 113, Best Score: 148, Average Score: 92.88732394366197
[08-14 00:12:15] New Score: 110, Best Score: 148, Average Score: 93.00699300699301
[08-14 00:12:19] New Score: 98, Best Score: 148, Average Score: 93.04166666666667
[08-14 00:12:24] New Score: 112, Best Score: 148, Average Score: 93.17241379310344
[08-14 00:12:28] New Score: 98, Best Score: 148, Average Score: 93.20547945205479
[08-14 00:12:33] New Score: 110, Best Score: 148, Average Score: 93.31972789115646
[08-14 00:12:38] New Score: 112, Best Score: 148, Average Score: 93.44594594594595
[08-14 00:12:42] New Score: 98, Best Score: 148, Average Score: 93.47651006711409
[08-14 00:12:46] New Score: 98, Best Score: 148, Average Score: 93.50666666666666
[08-14 00:12:51] New Score: 123, Best Score: 148, Average Score: 93.70198675496688
[08-14 00:12:57] New Score: 99, Best Score: 148, Average Score: 93.73684210526316
[08-14 00:13:02] New Score: 101, Best Score: 148, Average Score: 93.7843137254902
[08-14 00:13:07] New Score: 50, Best Score: 148, Average Score: 93.5
[08-14 00:13:11] New Score: 100, Best Score: 148, Average Score: 93.54193548387097
[08-14 00:13:16] New Score: 98, Best Score: 148, Average Score: 93.57051282051282
[08-14 00:13:20] New Score: 101, Best Score: 148, Average Score: 93.61783439490446
[08-14 00:13:25] New Score: 98, Best Score: 148, Average Score: 93.64556962025317
[08-14 00:13:30] New Score: 110, Best Score: 148, Average Score: 93.74842767295597
[08-14 00:13:35] New Score: 100, Best Score: 148, Average Score: 93.7875
[08-14 00:13:39] New Score: 98, Best Score: 148, Average Score: 93.8136645962733
[08-14 00:13:43] New Score: 98, Best Score: 148, Average Score: 93.8395061728395
[08-14 00:13:48] New Score: 110, Best Score: 148, Average Score: 93.93865030674847
[08-14 00:13:53] New Score: 100, Best Score: 148, Average Score: 93.97560975609755
[08-14 00:13:59] New Score: 110, Best Score: 148, Average Score: 94.07272727272728
[08-14 00:14:03] New Score: 98, Best Score: 148, Average Score: 94.09638554216868
[08-14 00:14:08] New Score: 112, Best Score: 148, Average Score: 94.20359281437126
[08-14 00:14:14] New Score: 122, Best Score: 148, Average Score: 94.36904761904762
[08-14 00:14:18] New Score: 110, Best Score: 148, Average Score: 94.46153846153847
[08-14 00:14:23] New Score: 111, Best Score: 148, Average Score: 94.55882352941177
[08-14 00:14:28] New Score: 99, Best Score: 148, Average Score: 94.58479532163743
[08-14 00:14:33] New Score: 111, Best Score: 148, Average Score: 94.68023255813954
[08-14 00:14:37] New Score: 98, Best Score: 148, Average Score: 94.69942196531792
[08-14 00:14:41] New Score: 99, Best Score: 148, Average Score: 94.72413793103448
[08-14 00:14:46] New Score: 110, Best Score: 148, Average Score: 94.81142857142858
[08-14 00:14:51] New Score: 98, Best Score: 148, Average Score: 94.82954545454545
[08-14 00:14:55] New Score: 98, Best Score: 148, Average Score: 94.84745762711864
[08-14 00:15:00] New Score: 100, Best Score: 148, Average Score: 94.87640449438203
[08-14 00:15:04] New Score: 98, Best Score: 148, Average Score: 94.89385474860335
[08-14 00:15:09] New Score: 99, Best Score: 148, Average Score: 94.91666666666667
[08-14 00:15:13] New Score: 98, Best Score: 148, Average Score: 94.93370165745857
[08-14 00:15:18] New Score: 101, Best Score: 148, Average Score: 94.96703296703296
[08-14 00:15:22] New Score: 100, Best Score: 148, Average Score: 94.99453551912568
[08-14 00:15:27] New Score: 122, Best Score: 148, Average Score: 95.1413043478261
[08-14 00:15:31] New Score: 98, Best Score: 148, Average Score: 95.15675675675676
[08-14 00:15:36] New Score: 100, Best Score: 148, Average Score: 95.18279569892474
[08-14 00:15:41] New Score: 113, Best Score: 148, Average Score: 95.27807486631016
[08-14 00:15:46] New Score: 100, Best Score: 148, Average Score: 95.30319148936171
[08-14 00:15:51] New Score: 99, Best Score: 148, Average Score: 95.32275132275132
[08-14 00:15:56] New Score: 110, Best Score: 148, Average Score: 95.4
[08-14 00:16:01] New Score: 126, Best Score: 148, Average Score: 95.56020942408377
[08-14 00:16:06] New Score: 98, Best Score: 148, Average Score: 95.57291666666667
[08-14 00:16:10] New Score: 110, Best Score: 148, Average Score: 95.64766839378238
[08-14 00:16:16] New Score: 103, Best Score: 148, Average Score: 95.68556701030928
[08-14 00:16:21] New Score: 100, Best Score: 148, Average Score: 95.70769230769231
[08-14 00:16:26] New Score: 111, Best Score: 148, Average Score: 95.78571428571429
[08-14 00:16:33] New Score: 147, Best Score: 148, Average Score: 96.04568527918782
[08-14 00:16:37] New Score: 98, Best Score: 148, Average Score: 96.05555555555556
[08-14 00:16:42] New Score: 98, Best Score: 148, Average Score: 96.06532663316582
[08-14 00:16:47] New Score: 111, Best Score: 148, Average Score: 96.14
[08-14 00:16:51] New Score: 99, Best Score: 148, Average Score: 96.1542288557214
[08-14 00:16:58] New Score: 136, Best Score: 148, Average Score: 96.35148514851485
[08-14 00:17:04] New Score: 102, Best Score: 148, Average Score: 96.37931034482759
[08-14 00:17:08] New Score: 99, Best Score: 148, Average Score: 96.3921568627451
[08-14 00:17:12] New Score: 100, Best Score: 148, Average Score: 96.40975609756097
[08-14 00:17:16] New Score: 99, Best Score: 148, Average Score: 96.42233009708738
[08-14 00:17:20] New Score: 111, Best Score: 148, Average Score: 96.4927536231884
[08-14 00:17:24] New Score: 99, Best Score: 148, Average Score: 96.5048076923077
[08-14 00:17:27] New Score: 99, Best Score: 148, Average Score: 96.51674641148325
[08-14 00:17:31] New Score: 99, Best Score: 148, Average Score: 96.52857142857142
[08-14 00:17:35] New Score: 98, Best Score: 148, Average Score: 96.53554502369668
[08-14 00:17:39] New Score: 99, Best Score: 148, Average Score: 96.54716981132076
[08-14 00:17:44] New Score: 111, Best Score: 148, Average Score: 96.6150234741784
[08-14 00:17:49] New Score: 111, Best Score: 148, Average Score: 96.6822429906542
[08-14 00:17:53] New Score: 98, Best Score: 148, Average Score: 96.68837209302326
[08-14 00:17:59] New Score: 135, Best Score: 148, Average Score: 96.86574074074075
[08-14 00:18:04] New Score: 111, Best Score: 148, Average Score: 96.93087557603687
[08-14 00:18:09] New Score: 101, Best Score: 148, Average Score: 96.94954128440367
[08-14 00:18:14] New Score: 110, Best Score: 148, Average Score: 97.00913242009132
