[08-12 17:27:39] New Score: 112, Best Score: 431, Average Score: 65.06153846153846
[08-12 17:27:43] New Score: 110, Best Score: 431, Average Score: 65.40458015267176
[08-12 17:27:47] New Score: 98, Best Score: 431, Average Score: 65.65151515151516
[08-12 17:27:51] New Score: 99, Best Score: 431, Average Score: 65.90225563909775
[08-12 17:27:56] New Score: 125, Best Score: 431, Average Score: 66.34328358208955
[08-12 17:28:01] New Score: 122, Best Score: 431, Average Score: 66.75555555555556
[08-12 17:28:06] New Score: 113, Best Score: 431, Average Score: 67.09558823529412
[08-12 17:28:10] New Score: 111, Best Score: 431, Average Score: 67.41605839416059
[08-12 17:28:16] New Score: 125, Best Score: 431, Average Score: 67.83333333333333
[08-12 17:28:20] New Score: 111, Best Score: 431, Average Score: 68.14388489208633
[08-12 17:28:25] New Score: 112, Best Score: 431, Average Score: 68.45714285714286
[08-12 17:28:31] New Score: 100, Best Score: 431, Average Score: 68.68085106382979
[08-12 17:28:36] New Score: 110, Best Score: 431, Average Score: 68.97183098591549
[08-12 17:28:40] New Score: 99, Best Score: 431, Average Score: 69.18181818181819
[08-12 17:28:44] New Score: 98, Best Score: 431, Average Score: 69.38194444444444
[08-12 17:28:48] New Score: 98, Best Score: 431, Average Score: 69.57931034482759
[08-12 17:28:52] New Score: 98, Best Score: 431, Average Score: 69.77397260273973
[08-12 17:28:56] New Score: 122, Best Score: 431, Average Score: 70.12925170068027
[08-12 17:29:01] New Score: 100, Best Score: 431, Average Score: 70.33108108108108
[08-12 17:29:05] New Score: 100, Best Score: 431, Average Score: 70.53020134228188
[08-12 17:29:10] New Score: 112, Best Score: 431, Average Score: 70.80666666666667
[08-12 17:29:14] New Score: 110, Best Score: 431, Average Score: 71.06622516556291
[08-12 17:29:18] New Score: 98, Best Score: 431, Average Score: 71.24342105263158
[08-12 17:29:23] New Score: 124, Best Score: 431, Average Score: 71.58823529411765
[08-12 17:29:28] New Score: 101, Best Score: 431, Average Score: 71.77922077922078
[08-12 17:29:32] New Score: 99, Best Score: 431, Average Score: 71.95483870967742
[08-12 17:29:36] New Score: 98, Best Score: 431, Average Score: 72.12179487179488
[08-12 17:29:40] New Score: 101, Best Score: 431, Average Score: 72.30573248407643
[08-12 17:29:44] New Score: 99, Best Score: 431, Average Score: 72.4746835443038
[08-12 17:29:48] New Score: 98, Best Score: 431, Average Score: 72.63522012578616
[08-12 17:29:53] New Score: 112, Best Score: 431, Average Score: 72.88125
[08-12 17:29:57] New Score: 98, Best Score: 431, Average Score: 73.03726708074534
[08-12 17:30:01] New Score: 111, Best Score: 431, Average Score: 73.27160493827161
[08-12 17:30:05] New Score: 98, Best Score: 431, Average Score: 73.42331288343559
[08-12 17:30:09] New Score: 98, Best Score: 431, Average Score: 73.57317073170732
[08-12 17:30:13] New Score: 110, Best Score: 431, Average Score: 73.7939393939394
[08-12 17:30:18] New Score: 99, Best Score: 431, Average Score: 73.94578313253012
[08-12 17:30:22] New Score: 99, Best Score: 431, Average Score: 74.09580838323353
[08-12 17:30:26] New Score: 122, Best Score: 431, Average Score: 74.38095238095238
[08-12 17:30:30] New Score: 98, Best Score: 431, Average Score: 74.52071005917159
[08-12 17:30:34] New Score: 99, Best Score: 431, Average Score: 74.66470588235295
[08-12 17:30:39] New Score: 100, Best Score: 431, Average Score: 74.81286549707602
[08-12 17:30:43] New Score: 98, Best Score: 431, Average Score: 74.94767441860465
[08-12 17:30:47] New Score: 111, Best Score: 431, Average Score: 75.15606936416185
[08-12 17:30:51] New Score: 98, Best Score: 431, Average Score: 75.28735632183908
[08-12 17:30:56] New Score: 101, Best Score: 431, Average Score: 75.43428571428572
[08-12 17:31:00] New Score: 99, Best Score: 431, Average Score: 75.56818181818181
[08-12 17:31:04] New Score: 99, Best Score: 431, Average Score: 75.70056497175142
[08-12 17:31:09] New Score: 112, Best Score: 431, Average Score: 75.90449438202248
[08-12 17:31:13] New Score: 112, Best Score: 431, Average Score: 76.10614525139665
[08-12 17:31:18] New Score: 110, Best Score: 431, Average Score: 76.29444444444445
[08-12 17:31:22] New Score: 99, Best Score: 431, Average Score: 76.41988950276243
[08-12 17:31:27] New Score: 123, Best Score: 431, Average Score: 76.67582417582418
[08-12 17:31:31] New Score: 98, Best Score: 431, Average Score: 76.79234972677595
[08-12 17:31:35] New Score: 98, Best Score: 431, Average Score: 76.90760869565217
[08-12 17:31:39] New Score: 99, Best Score: 431, Average Score: 77.02702702702703
[08-12 17:31:44] New Score: 112, Best Score: 431, Average Score: 77.21505376344086
[08-12 17:31:48] New Score: 101, Best Score: 431, Average Score: 77.34224598930481
[08-12 17:31:53] New Score: 111, Best Score: 431, Average Score: 77.52127659574468
[08-12 17:31:57] New Score: 113, Best Score: 431, Average Score: 77.70899470899471
[08-12 17:32:02] New Score: 111, Best Score: 431, Average Score: 77.88421052631578
[08-12 17:32:06] New Score: 110, Best Score: 431, Average Score: 78.05235602094241
[08-12 17:32:10] New Score: 98, Best Score: 431, Average Score: 78.15625
[08-12 17:32:15] New Score: 100, Best Score: 431, Average Score: 78.26943005181347
[08-12 17:32:19] New Score: 99, Best Score: 431, Average Score: 78.37628865979381
[08-12 17:32:23] New Score: 100, Best Score: 431, Average Score: 78.48717948717949
[08-12 17:32:28] New Score: 134, Best Score: 431, Average Score: 78.7704081632653
[08-12 17:32:33] New Score: 111, Best Score: 431, Average Score: 78.93401015228426
[08-12 17:32:37] New Score: 110, Best Score: 431, Average Score: 79.0909090909091
[08-12 17:32:41] New Score: 99, Best Score: 431, Average Score: 79.19095477386935
[08-12 17:32:46] New Score: 113, Best Score: 431, Average Score: 79.36
[08-12 17:32:51] New Score: 100, Best Score: 431, Average Score: 79.46268656716418
[08-12 17:32:55] New Score: 111, Best Score: 431, Average Score: 79.61881188118812
